id,status,parsed_time
recruitee-product-designer-team-mobile,expired,2022-05-22 15:54:10.858794
astek-polska-data-engineer-16c905b1-b577-4506-844f-13a35a6a1fd1,expired,2022-05-22 15:54:10.858794
seb-data-analyst,expired,2022-05-22 15:54:10.858794
forte-digital-senior-lead-net-developer-b0e4f942-1b42-4274-b40f-55977249909f,expired,2022-05-22 15:54:10.858794
auto1-senior-javascript-engineer-krakow,expired,2022-05-22 15:54:10.858794
xtb-senior-ios-developer,expired,2022-05-22 15:54:10.858794
appunite-backend-engineer,expired,2022-05-22 15:54:10.858794
equal-experts-senior-software-engineer-remote,expired,2022-05-22 15:54:10.858794
astek-polska-frontend-developer-with-bi-skills,expired,2022-05-22 15:54:10.858794
daftcode-manual-tester,expired,2022-05-22 15:54:10.858794
xtb-senior-android-developer-warszawa,expired,2022-05-22 15:54:10.858794
itds-net-developer-e8222375-5752-48e2-85b1-f7b5332ee3ec,expired,2022-05-22 15:54:10.858794
applover-project-manager-wroclaw,expired,2022-05-22 15:54:10.858794
hintech-junior-js-developer,expired,2022-05-22 15:54:10.858794
rocketsoft-product-designer,expired,2022-05-22 15:54:10.858794
conscensia-net-engineer-2d95e753-4eab-4333-a58c-d1f19fb98e4c,expired,2022-05-22 15:54:10.858794
rsq-technologies-unity-developer,expired,2022-05-22 15:54:10.858794
econsulting-sp-z-o-o-tester-manualny,expired,2022-05-22 15:54:10.858794
advox-studio-it-project-manager-6d5ade78-e0a1-4ac0-ae1f-b2787e3ad5e1,expired,2022-05-22 15:54:10.858794
advox-studio-php-developer-63b37c82-f2ab-4ca6-9ec5-84e3b53e6fe6,expired,2022-05-22 15:54:10.858794
advox-studio-react-frontend-developer-2db0dbf3-b4e2-4bc2-8472-07a2a4345f3a,expired,2022-05-22 15:54:10.858794
astek-polska-lead-developer-software-architect,expired,2022-05-22 15:54:10.858794
software-interactive-sp-z-o-o-programista-python,expired,2022-05-22 15:54:10.858794
kcharles-haulage-senior-frontend-developer-angular,expired,2022-05-22 15:54:10.858794
kcharles-haulage-mid-frontend-developer-angular,expired,2022-05-22 15:54:10.858794
amsterdam-standard-net-developer,expired,2022-05-22 15:54:10.858794
7n-qa-engineer-gdansk,expired,2022-05-22 15:54:10.858794
hipets-sp-z-o-o-senior-node-js-developer,expired,2022-05-22 15:54:10.858794
hintech-software-developer,expired,2022-05-22 15:54:10.858794
7n-tester-automatyzujacy-z-jmeter-zdalnie,expired,2022-05-22 15:54:10.858794
sim-factor-mid-net-developer-w-unity-krakow,expired,2022-05-22 15:54:10.858794
itfs-tester-manualny-32baec5b-7781-4741-8bd0-340dc575dc4c,expired,2022-05-22 15:54:10.858794
amadeus-tech-manager-krakow,expired,2022-05-22 15:54:10.858794
lyreco-advantage-senior-java-developer,expired,2022-05-22 15:54:10.858794
anegis-sp-z-o-o-junior-it-administrator,expired,2022-05-22 15:54:10.858794
the-codest-mid-senior-react-developer-remote,expired,2022-05-22 15:54:10.858794
rsq-technologies-react-developer,expired,2022-05-22 15:54:10.858794
the-codest-php-developer,expired,2022-05-22 15:54:10.858794
angry-nerds-mid-senior-kotlin-developer,expired,2022-05-22 15:54:10.858794
erli-qa-tester,expired,2022-05-22 15:54:10.858794
allegro-senior-software-engineer-python-pto,expired,2022-05-22 15:54:10.858794
awaken-realms-senior-mid-unity-developer-wroclaw,expired,2022-05-22 15:54:10.858794
affirm-senior-frontend-developer-krakow,expired,2022-05-22 15:54:10.858794
semantive-aws-cloud-tech-lead,expired,2022-05-22 15:54:10.858794
volven-software-architect-gdansk,expired,2022-05-22 15:54:10.858794
affirm-senior-full-stack-developer-wroclaw,expired,2022-05-22 15:54:10.858794
snow-dog-junior-ux-analyst,expired,2022-05-22 15:54:10.858794
mpc-junior-java-developer,expired,2022-05-22 15:54:10.858794
semantive-fullstack-developer-react-python,expired,2022-05-22 15:54:10.858794
fujitsu-technology-solutions-sp-z-o-o-iam-automation-engineer-cybersecurity,expired,2022-05-22 15:54:10.858794
fujitsu-technology-solutions-sp-z-o-o-iam-engineer-cybersecurity,expired,2022-05-22 15:54:10.858794
pretius-senior-ui-ux-designer,expired,2022-05-22 15:54:10.858794
pretius-java-developer-e92d1134-94bc-4f5c-8163-7ad5d6172bd6,expired,2022-05-22 15:54:10.858794
exatel-s-a-python-developer-r-d-01ba8d98-fe3f-4f30-b0c9-57f6f30b4061,expired,2022-05-22 15:54:10.858794
fujitsu-technology-solutions-sp-z-o-o-information-security-analyst,expired,2022-05-22 15:54:10.858794
