,id ,Category,marker_icon,workplace_type,experience_level,city,type,from,to,currency
1517,kiss-digital-backend-developer-with-symphony,Backend,architecture,remote,mid,Kraków,b2b,12000.0,18000.0,pln
1518,wirtualna-polska-media-s-a-backend-developer-zespol-wp-pilot,Backend,go,remote,mid,Warszawa,permanent,,,
1519,wirtualna-polska-media-s-a-software-developer-go,Backend,go,remote,mid,Warszawa,permanent,,,
1520,fluxon-software-engineer,Backend,javascript,remote,senior,San Francisco,permanent,,,
1521,designstripe-software-engineer-frontend,Backend,javascript,remote,mid,Warsaw,b2b,17000.0,23500.0,pln
1522,stellar-blu-solutions-software-developer,Backend,go,remote,mid,Kraków,b2b,4000.0,6000.0,usd
1523,stellar-blu-solutions-software-developer,Backend,go,remote,mid,Kraków,permanent,3420.0,5265.0,usd
1524,qualtrics-software-engineer,Backend,javascript,partly_remote,mid,Kraków,permanent,,,
1525,macrix-technology-group-backend-net-developer,Backend,net,remote,mid,Poznań,b2b,10500.0,15000.0,pln
1526,macrix-technology-group-backend-net-developer,Backend,net,remote,mid,Poznań,permanent,8500.0,11500.0,pln
1527,assa-abloy-software-developer,Backend,java,partly_remote,mid,Kraków,permanent,,,
1528,smart-adserver-backend-engineer-net-core-net-6,Backend,net,remote,mid,Kraków,permanent,16000.0,20000.0,pln
1529,andersen-back-end-developer-node-js-krakow,Backend,javascript,remote,senior,Kraków,b2b,15000.0,23000.0,pln
1530,andersen-back-end-developer-node-js-krakow,Backend,javascript,remote,senior,Kraków,permanent,12000.0,19000.0,pln
1531,career-karma-back-end-engineer,Backend,javascript,remote,mid,San Francisco,b2b,4000.0,5500.0,usd
1532,ai-estimo-software-sp-z-o-o-fullstack-developer,Backend,javascript,remote,mid,Kraków,b2b,12000.0,16500.0,pln
1533,ai-estimo-software-sp-z-o-o-fullstack-developer,Backend,javascript,remote,mid,Kraków,permanent,9000.0,14000.0,pln
1534,insart-llc-software-engineer-java,Backend,java,remote,senior,Kraków,b2b,3000.0,5650.0,usd
1535,insart-llc-software-engineer-java,Backend,java,remote,senior,Kraków,permanent,4000.0,5000.0,usd
1536,volue-sp-z-o-o-software-developer,Backend,net,partly_remote,mid,Gdańsk,b2b,13500.0,18500.0,pln
1537,aterian-software-engineer-krakow,Backend,php,remote,mid,Kraków,b2b,10000.0,16000.0,pln
1538,shares-backend-developer,Backend,javascript,remote,senior,Paris,b2b,4500.0,8000.0,eur
1539,odoo-software-developer,Backend,python,office,junior,Ramillies,permanent,,,
1540,simplicity-recruitment-back-end-java-kotlin-developer-warszawa,Backend,java,remote,senior,Warszawa,b2b,16000.0,31000.0,pln
1541,duco-back-end-developer-krakow,Backend,java,remote,mid,Kraków,b2b,18000.0,21500.0,pln
1542,duco-back-end-developer-krakow,Backend,java,remote,mid,Kraków,permanent,16000.0,21000.0,pln
1543,asseco-business-solutions-backend-web-developer-net-core-c-warszawa,Backend,net,remote,mid,Warszawa,permanent,,,
1544,kubo-software-engineer-automotive,Backend,c,remote,mid,Wrocław,b2b,16000.0,22400.0,pln
1545,equal-experts-software-engineer-golang-contract,Backend,go,remote,senior,Berlin,b2b,10000.0,14000.0,eur
1546,cogitech-group-backend-developer-php,Backend,php,office,mid,Poznań,permanent,,,
1547,sienn-back-end-developer-e0d5ff3e-a14b-45c8-a096-5cc11f8f107e,Backend,net,remote,senior,Wrocław,b2b,14000.0,23500.0,pln
1548,sienn-back-end-developer-e0d5ff3e-a14b-45c8-a096-5cc11f8f107e,Backend,net,remote,senior,Wrocław,permanent,11600.0,19500.0,pln
1549,manpowergroup-software-engineer-developer-sap-hcm,Backend,erp,remote,mid,Kraków,b2b,26500.0,28000.0,pln
1550,grammarly-software-engineer-front-end,Backend,javascript,remote,senior,San Francisco,b2b,,,
1551,grammarly-software-engineer-back-end,Backend,java,remote,mid,San Francisco,b2b,,,
1552,remedy-product-backend-javascript-engineer-nodejs,Backend,javascript,remote,mid,Warszawa,b2b,10000.0,17000.0,pln
1553,capgemini-engineering-software-engineer-python,Backend,python,partly_remote,mid,Katowice,b2b,15210.0,25200.0,pln
1554,capgemini-engineering-software-engineer-python,Backend,python,partly_remote,mid,Katowice,permanent,10000.0,18000.0,pln
1555,asseco-business-solutions-backend-cloud-developer,Backend,python,remote,mid,Lublin,permanent,,,
1556,blablacar-back-end-engineer-java,Backend,java,remote,senior,Paryż,b2b,,,
1557,amperio-backend-net-developer,Backend,net,remote,mid,Warszawa,b2b,18000.0,23000.0,pln
1558,kalepa-backend-software-engineer,Backend,python,remote,mid,Warszawa,b2b,7000.0,9000.0,usd
1559,mad-mountain-backend-developer,Backend,php,remote,mid,Warszawa,b2b,8000.0,14000.0,pln
1560,joynext-software-developer,Backend,net,partly_remote,mid,Siemianice,permanent,,,
1561,team-up-backend-java-developer-warszawa,Backend,java,remote,mid,Warszawa,b2b,18000.0,28500.0,pln
1562,team-up-backend-java-developer-warszawa,Backend,java,remote,mid,Warszawa,permanent,16000.0,27000.0,pln
1563,aterian-software-engineer-sr-software-engineer,Backend,net,remote,senior,Kraków,b2b,16000.0,26000.0,pln
1564,gofar-pty-ltd-backend-developer-sydney,Backend,javascript,remote,mid,Sydney,b2b,16000.0,20000.0,pln
1565,fortum-back-end-developer,Backend,java,remote,senior,Gdańsk,permanent,,,
1566,dualog-software-engineer-net-mid-senior,Backend,net,partly_remote,mid,Kraków,b2b,17000.0,27000.0,pln
1567,dualog-software-engineer-net-mid-senior,Backend,net,partly_remote,mid,Kraków,permanent,14000.0,22500.0,pln
1568,kharon-software-engineer-santa-monica,Backend,python,remote,senior,Warszawa,permanent,5000.0,7000.0,usd
1569,motorola-solutions-software-engineer-c-0f2ecf14-441a-4da1-81b1-29b8621acb81,Backend,c,partly_remote,mid,Kraków,permanent,,,
1570,digital-colliers-backend-node-js-developer,Backend,javascript,remote,mid,Kraków,b2b,10000.0,20000.0,pln
1571,ncbr-backend-php-developer-eddfe2b8-bd7f-4988-8b58-d7632bcf68f1,Backend,php,remote,mid,Warszawa,b2b,14000.0,18000.0,pln
1572,ncbr-backend-php-developer-eddfe2b8-bd7f-4988-8b58-d7632bcf68f1,Backend,php,remote,mid,Warszawa,permanent,10000.0,14000.0,pln
1573,bytedance-tiktok-software-engineer-speech-audio-team,Backend,c,partly_remote,mid,Warszawa,permanent,22000.0,30000.0,pln
1574,qurate-retail-group-software-engineering-manager-warszawa,Backend,pm,remote,senior,Warszawa,permanent,22000.0,30000.0,pln
1575,stonly-backend-developer-node-js,Backend,javascript,partly_remote,mid,Kraków,b2b,12000.0,19000.0,pln
1576,qualtrics-software-engineer-krakow,Backend,python,partly_remote,mid,Kraków,permanent,,,
1577,arche-consulting-software-engineer-cd024700-7b88-47c9-8346-6ef63035c06d,Backend,java,remote,junior,Warszawa,permanent,6000.0,9000.0,pln
1578,arche-consulting-software-engineer-warszawa,Backend,net,remote,junior,Warszawa,permanent,6000.0,9000.0,pln
1579,oroox-backend-developer,Backend,net,partly_remote,mid,Kraków,permanent,10000.0,18000.0,pln
1580,bravado-backend-engineer-europe-remote,Backend,ruby,remote,senior,San Francisco,permanent,4000.0,7500.0,usd
1581,henchman-backend-javascript-developer,Backend,javascript,remote,mid,Gent,permanent,4166.0,5830.0,eur
1582,trans-eu-group-sa-backend-developer-node-js-wroclaw,Backend,javascript,remote,mid,Wrocław,b2b,12000.0,18000.0,pln
1583,opsenio-backend-developer-ka-krakow,Backend,java,partly_remote,mid,Kraków,b2b,13000.0,19000.0,pln
1584,macrix-technology-group-software-engineering-lead,Backend,net,remote,senior,Poznań,b2b,20000.0,27000.0,pln
1585,macrix-technology-group-software-engineering-lead,Backend,net,remote,senior,Poznań,permanent,16000.0,22000.0,pln
1586,skillspark-software-developer-frontend-remote,Backend,java,remote,mid,Warszawa,b2b,3500.0,5500.0,eur
1587,itds-software-engineer-node-js-angular,Backend,javascript,remote,mid,Warszawa,b2b,17000.0,24000.0,pln
1588,itds-software-engineer-node-js-angular,Backend,javascript,remote,mid,Warszawa,permanent,11000.0,18000.0,pln
1589,smartrecruiters-inc-software-engineer-frontend-krakow,Backend,javascript,remote,mid,Kraków,permanent,14000.0,17000.0,pln
1590,memgraph-software-engineer-python,Backend,python,remote,senior,Warszawa,permanent,3400.0,5400.0,eur
1591,memgraph-software-engineer-in-test-c,Backend,c,remote,mid,Warszawa,permanent,2500.0,3500.0,eur
1592,memgraph-software-engineer-core-database-engine,Backend,c,remote,senior,Warsaw,permanent,3600.0,5400.0,eur
1593,tink-software-engineer-warszawa,Backend,java,remote,mid,Warszawa,b2b,16000.0,28000.0,pln
1594,tink-software-engineer-warszawa,Backend,java,remote,mid,Warszawa,permanent,12000.0,24000.0,pln
1595,a-cube-backend-developer,Backend,php,remote,mid,Warszawa,b2b,2800.0,3500.0,eur
1596,egnyte-poland-software-engineer-python-poznan,Backend,python,remote,mid,Poznań,b2b,12000.0,17000.0,pln
1597,indy-tispr-backend-engineer-warszawa,Backend,javascript,remote,mid,Warszawa,b2b,14400.0,21700.0,pln
1598,indy-tispr-backend-engineer-warszawa,Backend,javascript,remote,mid,Warszawa,permanent,12000.0,18000.0,pln
1599,voicelab-backend-developer,Backend,go,remote,mid,Gdańsk,permanent,13000.0,20000.0,pln
1600,voicelab-backend-developer,Backend,go,remote,mid,Gdańsk,b2b,13000.0,19994.0,pln
1601,affirm-backend-developer-49eac2b9-40b3-4c49-8e91-3d8f1e997c04,Backend,python,remote,mid,Kraków,permanent,13000.0,16000.0,pln
1602,playbook-engineering-scala-developer-krakow,Backend,scala,remote,mid,Kraków,permanent,11000.0,22000.0,pln
1603,playbook-engineering-scala-developer-krakow,Backend,scala,remote,mid,Kraków,b2b,10000.0,20000.0,pln
1604,vodeno-backend-developer-warszawa,Backend,java,remote,mid,Warszawa,b2b,11000.0,18000.0,pln
1605,vodeno-backend-developer-warszawa,Backend,java,remote,mid,Warszawa,permanent,11000.0,18000.0,pln
1606,viessmann-r-d-center-backend-developer-customer-apps,Backend,javascript,remote,mid,Wrocław,permanent,,,
1607,viessmann-r-d-center-backend-developer-customer-apps,Backend,javascript,remote,mid,Wrocław,b2b,,,
1608,asseco-data-systems-backend-developer-szczecin,Backend,java,remote,mid,Szczecin,permanent,,,
1609,asseco-data-systems-backend-developer-szczecin,Backend,java,remote,mid,Szczecin,b2b,,,
1610,storkjet-sp-z-o-o-backend-developer,Backend,java,remote,mid,Katowice,b2b,,,
1611,smartrecruiters-inc-software-engineer-java,Backend,java,remote,mid,Kraków,permanent,14000.0,17000.0,pln
1612,smartrecruiters-inc-senior-software-engineer-backend,Backend,java,remote,senior,Kraków,permanent,17000.0,23000.0,pln
1613,transporeon-back-end-java-developer-f-m-d,Backend,java,remote,mid,Kraków,permanent,,,
1614,nethone-software-engineer-with-objective-c,Backend,mobile,remote,mid,Warszawa,b2b,12000.0,20000.0,pln
1615,nethone-software-engineer-with-objective-c,Backend,mobile,remote,mid,Warszawa,permanent,12000.0,20000.0,pln
1616,scommerce-one-backend-node-js-developer,Backend,javascript,remote,mid,Poznań,b2b,15000.0,22000.0,pln
1617,scommerce-one-backend-node-js-developer,Backend,javascript,remote,mid,Poznań,permanent,12500.0,18500.0,pln
1618,harman-connected-services-software-engineer,Backend,java,partly_remote,mid,Łódź,b2b,9800.0,17300.0,pln
1619,harman-connected-services-software-engineer,Backend,java,partly_remote,mid,Łódź,permanent,7500.0,13000.0,pln
1620,assa-abloy-full-stack-software-developer,Backend,java,partly_remote,mid,Kraków,permanent,,,
1621,randstad-software-engineer,Backend,java,remote,senior,Warszawa,permanent,28000.0,30000.0,pln
1622,redd-ai-backend-developer-cloud-engineer-dataops,Backend,devops,remote,mid,Warszawa,permanent,15000.0,16500.0,pln
1623,closer-frontend-developer-6da1726c-29e6-4787-9381-aa7c1c9fd71c,Backend,scala,remote,mid,Kraków,b2b,15000.0,25000.0,pln
1624,cbre-business-services-organisation-software-engineering-lead-warsaw,Backend,net,remote,senior,Warsaw,b2b,22000.0,27000.0,pln
1625,cbre-business-services-organisation-software-engineering-lead-warsaw,Backend,net,remote,senior,Warsaw,permanent,16000.0,19000.0,pln
1626,neti-software-engineer-node-js,Backend,javascript,remote,mid,Rzeszów,b2b,10000.0,20000.0,pln
1627,isma-controlli-poland-software-developer,Backend,net,partly_remote,mid,Gdańsk,permanent,9000.0,16000.0,pln
1628,demant-software-developer-in-software-solutions,Backend,net,remote,mid,Szczecin,permanent,,,
1629,codetwo-hrejterzy-c-or-asp-net-developer,Backend,net,remote,mid,Wrocław,permanent,9000.0,14000.0,pln
1630,bnp-paribas-bank-polska-software-developer-java-17,Backend,java,remote,mid,Warszawa,permanent,,,
1631,cornerstone-ondemand-software-engineer-java-poland-remote-cc9b1852-debf-4bf1-be21-7c0ea7e5f330,Backend,java,remote,senior,Kraków,permanent,,,
1632,cornerstone-ondemand-software-engineer-net,Backend,net,remote,mid,Kraków,permanent,,,
1633,acturis-poland-backend-developer-bez-doswiadczenia,Backend,net,partly_remote,junior,Wrocław,permanent,5000.0,8000.0,pln
1634,ec2-frontend-developer-warszawa,Backend,java,remote,mid,Warszawa,b2b,13000.0,18000.0,pln
1635,promo-com-backend-developer-warszawa,Backend,php,remote,mid,Warszawa,b2b,14000.0,22000.0,pln
1636,bsh-sprzet-gospodarstwa-domowego-software-engineering-manager,Backend,java,partly_remote,senior,Warszawa,permanent,,,
1637,demant-software-developer-internal-business-app,Backend,net,partly_remote,senior,Szczecin,permanent,,,
1638,tier-mobility-backend-software-developer-geodata-warszawa,Backend,javascript,remote,mid,Warszawa,permanent,,,
1639,bidroom-backend-software-engineer-dded3309-be92-4428-b57e-a577fce86924,Backend,architecture,remote,senior,Poznań,b2b,14000.0,23000.0,pln
1640,appunite-backend-engineer,Backend,other,remote,mid,Poznań,b2b,11000.0,18000.0,pln
1641,sages-software-engineer-6689855a-f099-4a91-a7d5-35060eb49add,Backend,java,office,mid,Warszawa,mandate_contract,12000.0,18000.0,pln
1642,sages-software-engineer-6689855a-f099-4a91-a7d5-35060eb49add,Backend,java,office,mid,Warszawa,b2b,12000.0,18000.0,pln
1643,futurehome-backend-go-developer,Backend,go,partly_remote,mid,Kraków,b2b,12000.0,17000.0,pln
1644,adverity-software-engineering-manager-visualize,Backend,java,remote,senior,Wien,b2b,4500.0,7000.0,eur
1645,adverity-software-engineering-manager-connect,Backend,python,remote,senior,Wien,b2b,4500.0,7000.0,eur
1646,dxc-technology-backend-solution-developer,Backend,net,partly_remote,mid,Wrocław,permanent,,,
1647,better-software-group-s-a-kotlin-developer,Backend,other,remote,mid,Wrocław,b2b,12000.0,18000.0,pln
1648,miquido-software-developer-in-test,Backend,testing,remote,mid,Kraków,b2b,10500.0,15100.0,pln
1649,miquido-software-developer-in-test,Backend,testing,remote,mid,Kraków,permanent,8900.0,12700.0,pln
1650,zabka-polska-software-engineer-salesforce,Backend,java,remote,mid,Poznań,permanent,,,
1651,zabka-polska-software-engineer-salesforce,Backend,java,remote,mid,Poznań,b2b,,,
1652,carrier-backend-and-aws-software-engineer,Backend,architecture,partly_remote,mid,Gdańsk,permanent,,,
1653,santander-gto-software-engineer-as400,Backend,java,remote,mid,Warszawa,permanent,,,
1654,santander-gto-software-engineer,Backend,python,remote,mid,Warszawa,permanent,,,
1655,santander-gto-backstack-solution-engineer,Backend,data,remote,mid,Warszawa,permanent,,,
1656,flyr-software-engineer-in-test-46f67a9d-41b0-4392-aca2-a77271bbdbc7,Backend,testing,partly_remote,mid,Kraków,b2b,14000.0,19500.0,pln
1657,flyr-software-engineer-in-test-46f67a9d-41b0-4392-aca2-a77271bbdbc7,Backend,testing,partly_remote,mid,Kraków,permanent,14000.0,19500.0,pln
1658,flyr-backend-engineer-ml-infrastructure,Backend,python,partly_remote,senior,Kraków,b2b,17000.0,24000.0,pln
1659,flyr-backend-engineer-ml-infrastructure,Backend,python,partly_remote,senior,Kraków,permanent,17000.0,24000.0,pln
1660,snowflake-senior-backend-engineer,Backend,java,partly_remote,mid,Warszawa,permanent,25000.0,50000.0,pln
1661,skillspark-software-developer-fullstack-remote,Backend,java,remote,senior,Warszawa,b2b,3500.0,5500.0,eur
1662,randstad-polska-sp-z-o-o-software-developer-net-c,Backend,net,remote,senior,Poland,b2b,27300.0,28350.0,pln
1663,daftcode-backend-c-developer,Backend,net,partly_remote,mid,Warszawa,b2b,10000.0,12000.0,pln
1664,tim-backend-php-magento-developer-gorzow-wielkopolski,Backend,php,remote,senior,Gorzów Wielkopolski,b2b,,,
1665,tim-backend-php-magento-developer-gorzow-wielkopolski,Backend,php,remote,senior,Gorzów Wielkopolski,permanent,,,
1666,operibus-sp-z-o-o-full-stack-python-developer,Backend,python,office,mid,Wrocław,b2b,14000.0,18000.0,pln
1667,operibus-sp-z-o-o-full-stack-python-developer,Backend,python,office,mid,Wrocław,permanent,10000.0,14000.0,pln
1668,moon-active-backend-node-js-engineer,Backend,javascript,partly_remote,senior,Warszawa,permanent,,,
1669,moon-active-backend-node-js-engineer,Backend,javascript,partly_remote,senior,Warszawa,b2b,,,
1670,moon-active-backend-go-engineer,Backend,go,partly_remote,mid,Warszawa,b2b,,,
1671,moon-active-backend-go-engineer,Backend,go,partly_remote,mid,Warszawa,permanent,,,
1672,r-systems-software-engineer-with-go,Backend,go,remote,mid,Warszawa,b2b,,,
1673,schibsted-backend-developer-gdansk,Backend,other,partly_remote,mid,Gdańsk,b2b,15600.0,18000.0,pln
1674,schibsted-backend-developer-gdansk,Backend,other,partly_remote,mid,Gdańsk,permanent,13000.0,15000.0,pln
1675,hybrid-greentech-software-engineer-relocation-to-dk,Backend,architecture,partly_remote,senior,Wrocław,permanent,,,
1676,hybrid-greentech-software-engineer,Backend,architecture,partly_remote,senior,Roskilde,permanent,,,
1677,codewise-centralnic-poland-software-engineer-backend,Backend,java,remote,mid,Kraków,b2b,13800.0,18400.0,pln
1678,codewise-centralnic-poland-software-engineer-backend,Backend,java,remote,mid,Kraków,permanent,12000.0,16000.0,pln
1679,code-poets-software-developer-with-blockchain-warszawa,Backend,java,remote,senior,Warszawa,b2b,15000.0,20000.0,pln
1680,orca-software-engineer,Backend,python,remote,senior,Oslo,permanent,3333.0,5833.0,eur
1681,force-recruitment-backend-engineer,Backend,javascript,remote,senior,Warszawa,permanent,25000.0,30000.0,pln
1682,fujitsu-technology-solutions-sp-z-o-o-software-developer-with-python-and-c-e94c1ed1-5292-4382-b36b-e29563f74211,Backend,c,remote,mid,Wrocław,permanent,,,
1683,qualtrics-software-engineer-mid-senior,Backend,java,partly_remote,mid,Kraków,permanent,,,
1684,woodpecker-co-back-end-developer-mid-6a2f18fd-e4c4-477f-86da-54289609b541,Backend,java,remote,mid,Wrocław,b2b,12000.0,17500.0,pln
1685,woodpecker-co-back-end-developer-mid-6a2f18fd-e4c4-477f-86da-54289609b541,Backend,java,remote,mid,Wrocław,permanent,10000.0,14500.0,pln
1686,deepsense-ai-software-engineer-in-machine-learning,Backend,python,remote,mid,Warszawa,b2b,12000.0,18000.0,pln
1687,deepsense-ai-software-engineer-in-machine-learing,Backend,python,remote,mid,Kraków,b2b,12000.0,18000.0,pln
1688,docplanner-tech-backend-developer-js-node-js-sre,Backend,javascript,remote,mid,Warszawa,b2b,15000.0,30000.0,pln
1689,devqube-sp-z-o-o-backend-net-core-developer,Backend,net,remote,mid,Wrocław,b2b,16800.0,23520.0,pln
1690,flyr-backend-engineer-etl,Backend,python,partly_remote,mid,Kraków,b2b,17000.0,29000.0,pln
